
URL                                                                     | Module                                          | Name                                                 | Decorator
------------------------------------------------------------------------+-------------------------------------------------+------------------------------------------------------+-
/rule/api/                                                              | rest_framework.routers.APIRootView              | api-root                                             | 
/rule/api/<drf_format_suffix:format>                                    | rest_framework.routers.APIRootView              | api-root                                             | 
/rule/api/channel/                                                      | rules_engine.views.ChannelView                  | channel-list                                         | 
/rule/api/channel/<pk>/                                                 | rules_engine.views.ChannelView                  | channel-detail                                       | 
/rule/api/channel/<pk>\.<format>/                                       | rules_engine.views.ChannelView                  | channel-detail                                       | 
/rule/api/channel\.<format>/                                            | rules_engine.views.ChannelView                  | channel-list                                         | 
/rule/api/pending-notification/                                         | rules_engine.views.PendingNotificationView      | pending-notification-list                            | 
/rule/api/pending-notification/<pk>/                                    | rules_engine.views.PendingNotificationView      | pending-notification-detail                          | 
/rule/api/pending-notification/<pk>\.<format>/                          | rules_engine.views.PendingNotificationView      | pending-notification-detail                          | 
/rule/api/pending-notification/purge/                                   | rules_engine.views.PendingNotificationView      | pending-notification-purge                           | 
/rule/api/pending-notification/purge\.<format>/                         | rules_engine.views.PendingNotificationView      | pending-notification-purge                           | 
/rule/api/pending-notification/retry/                                   | rules_engine.views.PendingNotificationView      | pending-notification-retry                           | 
/rule/api/pending-notification/retry\.<format>/                         | rules_engine.views.PendingNotificationView      | pending-notification-retry                           | 
/rule/api/pending-notification\.<format>/                               | rules_engine.views.PendingNotificationView      | pending-notification-list                            | 
/rule/api/rules/                                                        | rules_engine.views.RuleView                     | rule-engine-list                                     | 
/rule/api/rules/<pk>/                                                   | rules_engine.views.RuleView                     | rule-engine-detail                                   | 
/rule/api/rules/<pk>\.<format>/                                         | rules_engine.views.RuleView                     | rule-engine-detail                                   | 
/rule/api/rules/bulk/clone                                              | rules_engine.views.RuleBulkView                 | rule-view-bulk-clone                                 | 
/rule/api/rules/bulk/create                                             | rules_engine.views.RuleBulkView                 | rule-view-bulk-create                                | 
/rule/api/rules/bulk/delete                                             | rules_engine.views.RuleBulkView                 | rule-view-bulk-delete                                | 
/rule/api/rules/bulk/update                                             | rules_engine.views.RuleBulkView                 | rule-view-bulk-update                                | 
/rule/api/rules\.<format>/                                              | rules_engine.views.RuleView                     | rule-engine-list                                     | 
/rule/api/system-notification/                                          | rules_engine.views.SystemNotificationView       | system-notification-list                             | 
/rule/api/system-notification/<pk>/                                     | rules_engine.views.SystemNotificationView       | system-notification-detail                           | 
/rule/api/system-notification/<pk>\.<format>/                           | rules_engine.views.SystemNotificationView       | system-notification-detail                           | 
/rule/api/system-notification/notifications/                            | rules_engine.views.SystemNotificationView       | system-notification-notifications                    | 
/rule/api/system-notification/notifications\.<format>/                  | rules_engine.views.SystemNotificationView       | system-notification-notifications                    | 
/rule/api/system-notification/purge/                                    | rules_engine.views.SystemNotificationView       | system-notification-purge                            | 
/rule/api/system-notification/purge\.<format>/                          | rules_engine.views.SystemNotificationView       | system-notification-purge                            | 
/rule/api/system-notification/read/                                     | rules_engine.views.SystemNotificationView       | system-notification-read                             | 
/rule/api/system-notification/read\.<format>/                           | rules_engine.views.SystemNotificationView       | system-notification-read                             | 
/rule/api/system-notification\.<format>/                                | rules_engine.views.SystemNotificationView       | system-notification-list                             | 
/wf/                                                                    | django.views.generic.base.RedirectView          | index                                                | 
/wf/admin/                                                              | django.contrib.admin.sites.index                | admin:index                                          | 
/wf/admin/<app_label>/                                                  | django.contrib.admin.sites.app_index            | admin:app_list                                       | 
