 ---------------------------------------------------- --------------------- -------- ------ --------------------------------------------------------------- 
  Name                                                 Method                Scheme   Host   Path                                                           
 ---------------------------------------------------- --------------------- -------- ------ --------------------------------------------------------------- 
  fetch_module_locale                                  GET                   ANY      ANY    /api/locale/1/{moduleType}/{lang}                              
  app_api_archival_proxy_action                        POST|GET|PUT|DELETE   ANY      ANY    /api/archival/{route}/{moduletype}/{id}                        
  get_settings_authentication_message                  GET                   ANY      ANY    /api/public/settings/authentication                            
  api_user_settings_get                                GET                   ANY      ANY    /api/3/user_settings/{id}/{path}                               
  api_user_settings_set                                PUT                   ANY      ANY    /api/3/user_settings/{id}/{path}                               
  api_user_settings_unset                              DELETE                ANY      ANY    /api/3/user_settings/{id}/{path}                               
  api_system_entities_fixtures                         GET                   ANY      ANY    /api/system/fixtures/{moduletype}                              
  app_api_root                                         GET                   ANY      ANY    /api/taxii/1/taxii                                             
  app_api_root_taxii2                                  GET                   ANY      ANY    /api/taxii2/1/taxii                                            
  app_api_root_info                                    GET                   ANY      ANY    /api/taxii/1/                                                  
  app_api_root_info_taxii2                             GET                   ANY      ANY    /api/taxii2/1/                                                 
  app_api_feeds_collections                            GET                   ANY      ANY    /api/taxii/1/collections                                       
  app_api_feeds_collections_taxii2                     GET                   ANY      ANY    /api/taxii2/1/collections                                      
  app_api_feeds_export                                 GET                   ANY      ANY    /api/taxii/1/collections/{collectionId}/{objects}/{objectId}   
  app_api_feeds_export_taxii2                          GET                   ANY      ANY    /api/taxii2/1/collections/{collectionId}/{objects}/{objectId}  
  app_search_action                                    POST                  ANY      ANY    /api/search                                                    
  app_similar_action                                   POST                  ANY      ANY    /api/similar                                                   
  app_search_status_action                             GET                   ANY      ANY    /api/search/status                                             
  app_fsr_query                                        POST                  ANY      ANY    /api/query/{resourceShortName}                                 
  app_fsr_query_assocation                             POST                  ANY      ANY    /api/query/{resourceShortName}/{id}/{field}                    
  app_api_das_proxy_action                             GET|PUT|POST|DELETE   ANY      ANY    /api/auth/{route}                                              
  app_api_workflow_proxy_action                        GET|PUT|POST|DELETE   ANY      ANY    /api/wf/{route}                                                
  app_api_rule_proxy_action                            GET|PUT|POST|DELETE   ANY      ANY    /api/rule/{route}                                              
  app_api_integrations_proxy_action                    GET|PUT|POST|DELETE   ANY      ANY    /api/integration/{route}                                       
  app_api_postman_proxy_action                         GET|PUT|POST|DELETE   ANY      ANY    /api/postman/{route}                                           
  app_api_saml_public_proxy_action                     GET|POST              ANY      ANY    /api/public/saml/{route}                                       
  app_api_saml_proxy_action                            GET|POST              ANY      ANY    /api/saml/{route}                                              
  app_api_saml_logout_action                           POST                  ANY      ANY    /api/3/logout                                                  
  app_metadata_revert                                  PUT                   ANY      ANY    /api/publish/revert                                            
  app_metadata_publish                                 PUT                   ANY      ANY    /api/publish                                                   
  app_metadata_publish_error_last_message              GET                   ANY      ANY    /api/publish/error                                             
  app_api_public_forgot_action                         POST                  ANY      ANY    /api/public/forgotPassword                                     
  app_api_public_apply_license                         POST                  ANY      ANY    /api/public/license                                            
  app_public_portal_action                             POST                  ANY      ANY    /api/public/portal/user                                        
  app_public_auth_action                               POST                  ANY      ANY    /api/public/auth/action                                        
  app_gateway_proxy_action                             POST                  ANY      ANY    /api/gateway/audit/activities                                  
  app_gateway_proxy_action_count                       POST                  ANY      ANY    /api/gateway/audit/activities/count                            
  app_gateway_get_ttl_action                           GET                   ANY      ANY    /api/gateway/audit/activities/ttl                              
  app_gateway_get_audit_operations                     GET                   ANY      ANY    /api/gateway/audit/operations                                  
  app_gateway_id_action                                GET                   ANY      ANY    /api/gateway/audit/activities/{auditId}                        
  app_gateway_delete_action                            DELETE                ANY      ANY    /api/gateway/audit/activities                                  
  app_gateway_delete_action_activities                 POST                  ANY      ANY    /api/gateway/audit/activities/delete                           
  app_gateway_post_ttl_action_activities               POST                  ANY      ANY    /api/gateway/audit/activities/ttl                              
  app_gateway_syslog_get_action                        GET                   ANY      ANY    /api/gateway/config/syslog                                     
  app_gateway_syslog_post_action                       POST                  ANY      ANY    /api/gateway/config/syslog                                     
  app_gateway_syslog_put_action                        PUT                   ANY      ANY    /api/gateway/config/syslog                                     
  app_gateway_syslog_delete_action                     DELETE                ANY      ANY    /api/gateway/config/syslog/{uuid}                              
  app_gateway_delete_ttl_action_activities             DELETE                ANY      ANY    /api/gateway/audit/activities/ttl                              
  app_gateway_syslog_reconcile_action                  POST                  ANY      ANY    /api/gateway/config/syslog/reconcile                           
  app_authorization_permissions_list_action            GET                   ANY      ANY    /api/permissions/current                                       
  app_authorization_permissions_has_authority_action   GET                   ANY      ANY    /api/permissions/{module}/{action}                             
  app_api_default_template_get                         GET                   ANY      ANY    /api/3/template/{type}/default                                 
